State,County,Agency,Scraper,Website,Courts Website,What Data Exists,Code,FOIA Req Needed?,NIBRS?,2019 Population,Percent completion
Arizona,Pinal County,,,,,,,,,"462,789",
Arizona,Santa Cruz County,,,,,,,,,"46,498",
Arizona,Yavapai County,,,,,,,,,"235,099",
Arizona,Yuma County,,,,,,,,,"213,787",
Arkansas,Arkansas County,,,,,,,,,"17,486",
Arkansas,Ashley County,,,,,,,,,"19,657",
Arkansas,Baxter County,,,,,,,,,"41,932",
Arkansas,Benton County,,,,,,,,,"279,141",
Arkansas,Boone County,,,,,,,,,"37,432",
Arkansas,Bradley County,,,,,,,,,"10,763",
Arkansas,Calhoun County,,,,,,,,,"5,189",
Arkansas,Carroll County,,,,,,,,,"28,380",
Arkansas,Chicot County,,,,,,,,,"10,118",
Arkansas,Clark County,,,,,,,,,"22,320",
Arkansas,Clay County,,,,,,,,,"14,551",
Arkansas,Cleburne County,,,,,,,,,"24,919",
Arkansas,Cleveland County,,,,,,,,,"7,956",
Arkansas,Columbia County,,,,,,,,,"23,457",
Arkansas,Conway County,,,,,,,,,"20,846",
Arkansas,Craighead County,,,,,,,,,"110,332",
Arkansas,Crawford County,,,,,,,,,"63,257",
Arkansas,Crittenden County,,,,,,,,,"47,955",
Arkansas,Cross County,,,,,,,,,"16,419",
Arkansas,Dallas County,,,,,,,,,"7,009",
Arkansas,Desha County,,,,,,,,,"11,361",
Arkansas,Drew County,,,,,,,,,"18,219",
Arkansas,Faulkner County,,,,,,,,,"126,007",
Arkansas,Franklin County,,,,,,,,,"17,715",
Arkansas,Fulton County,,,,,,,,,"12,477",
Arkansas,Garland County,,,,,,,,,"99,386",
Arkansas,Grant County,,,,,,,,,"18,265",
Arkansas,Greene County,,,,,,,,,"45,325",
Arkansas,Hempstead County,,,,,,,,,"21,532",
Arkansas,Hot Spring County,,,,,,,,,"33,771",
Arkansas,Howard County,,,,,,,,,"13,202",
Arkansas,Independence County,,,,,,,,,"37,825",
Arkansas,Izard County,,,,,,,,,"13,629",
Arkansas,Jackson County,,,,,,,,,"16,719",
Arkansas,Jefferson County,,,,,,,,,"66,824",
Arkansas,Johnson County,,,,,,,,,"26,578",
Arkansas,Lafayette County,,,,,,,,,"6,624",
Arkansas,Lawrence County,,,,,,,,,"16,406",
Arkansas,Lee County,,,,,,,,,"8,857",
Arkansas,Lincoln County,,,,,,,,,"13,024",
Arkansas,Little River County,,,,,,,,,"12,259",
Arkansas,Logan County,,,,,,,,,"21,466",
Arkansas,Lonoke County,,,,,,,,,"73,309",
Arkansas,Madison County,,,,,,,,,"16,576",
Arkansas,Marion County,,,,,,,,,"16,694",
Arkansas,Miller County,,,,,,,,,"43,257",
Arkansas,Mississippi County,,,,,,,,,"40,651",
Arkansas,Monroe County,,,,,,,,,"6,701",
Arkansas,Montgomery County,,,,,,,,,"8,986",
Arkansas,Nevada County,,,,,,,,,"8,252",
Arkansas,Newton County,,,,,,,,,"7,753",
Arkansas,Ouachita County,,,,,,,,,"23,382",
Arkansas,Perry County,,,,,,,,,"10,455",
Arkansas,Phillips County,,,,,,,,,"17,782",
Arkansas,Pike County,,,,,,,,,"10,718",
Arkansas,Poinsett County,,,,,,,,,"23,528",
Arkansas,Polk County,,,,,,,,,"19,964",
Arkansas,Pope County,,,,,,,,,"64,072",
Arkansas,Prairie County,,,,,,,,,"8,062",
Arkansas,Pulaski County,,,,,,,,,"391,911",
Arkansas,Randolph County,,,,,,,,,"17,958",
Arkansas,Saline County,,,,,,,,,"122,437",
Arkansas,Scott County,,,,,,,,,"10,281",
Arkansas,Searcy County,,,,,,,,,"7,881",
Arkansas,Sebastian County,,,,,,,,,"127,827",
Arkansas,Sevier County,,,,,,,,,"17,007",
Arkansas,Sharp County,,,,,,,,,"17,442",
Arkansas,St. Francis County,,,,,,,,,"24,994",
Arkansas,Stone County,,,,,,,,,"12,506",
Arkansas,Union County,,,,,,,,,"38,682",
Arkansas,Van Buren County,,,,,,,,,"16,545",
Arkansas,Washington County,,,,,,,,,"239,187",
Arkansas,White County,,,,,,,,,"78,753",
Arkansas,Woodruff County,,,,,,,,,"6,320",
Arkansas,Yell County,,,,,,,,,"21,341",
California,Alameda County,,,https://publicportal.alameda.courts.ca.gov/publicportal//,,"Case #, Name, Judge Name, ",,For certain fields (Officer Name),,"1,671,329",
California,Alpine County,,,,,,,,,"1,129",
California,Amador County,,,,,,,,,"39,752",
California,Butte County,,,,,,,,,"219,186",
California,Calaveras County,,,,,,,,,"45,905",
California,Colusa County,,,,,,,,,"21,547",
California,Contra Costa County,,,,,,,,,"1,153,526",
California,Del Norte County,,,,,,,,,"27,812",
California,El Dorado County,,,,,,,,,"192,843",
California,Fresno County,,,,,,,,,"999,101",
California,Glenn County,,,,,,,,,"28,393",
California,Humboldt County,,,,,,,,,"135,558",
California,Imperial County,,,,,,,,,"181,215",
California,Inyo County,,,,,,,,,"18,039",
California,Kern County,,,,,,,,,"900,202",
California,Kings County,,,,,,,,,"152,940",
California,Lake County,,,,,,,,,"64,386",
California,Lassen County,,,,,,,,,"30,573",
California,Los Angeles County,,,,,,,,,"10,039,107",
California,Madera County,,,,,,,,,"157,327",
California,Marin County,,,,,,,,,"258,826",
California,Mariposa County,,,,,,,,,"17,203",
California,Mendocino County,,,,,,,,,"86,749",
California,Merced County,,,,,,,,,"277,680",
California,Modoc County,,,,,,,,,"8,841",
California,Mono County,,,,,,,,,"14,444",
California,Monterey County,,,,,,,,,"434,061",
California,Napa County,,,,,,,,,"137,744",
California,Nevada County,,,,,,,,,"99,755",
California,Orange County,,,,,,,,,"3,175,692",
California,Placer County,,,,,,,,,"398,329",
California,Plumas County,,,,,,,,,"18,807",
California,Riverside County,,,,,,,,,"2,470,546",
California,Sacramento County,,,,,,,,,"1,552,058",
California,San Benito County,,,,,,,,,"62,808",
California,San Bernardino County,,,,,,,,,"2,180,085",
California,San Diego County,,,,,,,,,"3,338,330",
California,San Francisco,,,,,,,,,#N/A,
California,San Joaquin County,,,,,,,,,"762,148",
California,San Luis Obispo County,,,,,,,,,"283,111",
California,San Mateo County,,,,,,,,,"766,573",
California,Santa Barbara County,,,,,,,,,"446,499",
California,Santa Clara County,,,,,,,,,"1,927,852",
California,Santa Cruz County,,,,,,,,,"273,213",
California,Shasta County,,,,,,,,,"180,080",
California,Sierra County,,,,,,,,,"3,005",
California,Siskiyou County,,,,,,,,,"43,539",
California,Solano County,,,,,,,,,"447,643",
California,Sonoma County,,,,,,,,,"494,336",
California,Stanislaus County,,,,,,,,,"550,660",
California,Sutter County,,,,,,,,,"96,971",
California,Tehama County,,,,,,,,,"65,084",
California,Trinity County,,,,,,,,,"12,285",
California,Tulare County,,,,,,,,,"466,195",
California,Tuolumne County,,,,,,,,,"54,478",
California,Ventura County,,,,,,,,,"846,006",
California,Yolo County,,,,,,,,,"220,500",
California,Yuba County,,,,,,,,,"78,668",
Colorado,Adams County,,,,,,,,,"517,421",
Colorado,Alamosa County,,,,,,,,,"16,233",
Colorado,Arapahoe County,,,,,,,,,"656,590",
Colorado,Archuleta County,,,,,,,,,"14,029",
Colorado,Baca County,,,,,,,,,"3,581",
Colorado,Bent County,,,,,,,,,"5,577",
Colorado,Boulder County,,,,,,,,,"326,196",
Colorado,Chaffee County,,,,,,,,,"20,356",
Colorado,Cheyenne County,,,,,,,,,"1,831",
Colorado,City and County of Broomfield,,,,,,,,,#N/A,
Colorado,City and County of Denver,,,,,,,,,#N/A,
Colorado,Clear Creek County,,,,,,,,,"9,700",
Colorado,Conejos County,,,,,,,,,"8,205",
